-14.3567 -403415 154470
-14.3557 -403261 154423
-14.3547 -403106 154376
-14.3537 -402952 154329
-14.3527 -402798 154282
-14.3517 -402643 154235
-14.3507 -402489 154188
-14.3497 -402335 154141
-14.3487 -402181 154094
-14.3477 -402027 154047
-14.3467 -401873 154001
-14.3457 -401719 153954
-14.3447 -401565 153907
-14.3437 -401411 153860
-14.3427 -401257 153813
-14.3417 -401103 153766
-14.3407 -400950 153719
-14.3397 -400796 153673
-14.3387 -400642 153626
-14.3377 -400489 153579
-14.3367 -400335 153532
-14.3357 -400182 153485
-14.3347 -400028 153439
-14.3337 -399875 153392
-14.3327 -399721 153345
-14.3317 -399568 153298
-14.3307 -399415 153252
-14.3297 -399261 153205
-14.3287 -399108 153158
-14.3277 -398955 153112
-14.3267 -398802 153065
-14.3257 -398649 153018
-14.3247 -398496 152972
-14.3237 -398343 152925
-14.3227 -398190 152878
-14.3217 -398037 152832
-14.3207 -397885 152785
-14.3197 -397732 152739
-14.3187 -397579 152692
-14.3177 -397426 152645
-14.3167 -397274 152599
-14.3157 -397121 152552
-14.3147 -396969 152506
-14.3137 -396816 152459
-14.3127 -396664 152413
-14.3117 -396511 152366
-14.3107 -396359 152320
-14.3097 -396207 152273
-14.3087 -396054 152227
-14.3077 -395902 152180
-14.3067 -395750 152134
-14.3057 -395598 152087
-14.3047 -395446 152041
-14.3037 -395294 151994
-14.3027 -395142 151948
-14.3017 -394990 151902
-14.3007 -394838 151855
-14.2997 -394686 151809
-14.2987 -394535 151762
-14.2977 -394383 151716
-14.2967 -394231 151670
-14.2957 -394079 151623
-14.2947 -393928 151577
-14.2937 -393776 151531
-14.2927 -393625 151484
-14.2917 -393473 151438
-14.2907 -393322 151392
-14.2897 -393171 151346
-14.2887 -393019 151299
-14.2877 -392868 151253
-14.2867 -392717 151207
-14.2857 -392566 151160
-14.2847 -392414 151114
-14.2837 -392263 151068
-14.2827 -392112 151022
-14.2817 -391961 150976
-14.2807 -391810 150929
-14.2797 -391659 150883
-14.2787 -391509 150837
-14.2777 -391358 150791
-14.2767 -391207 150745
-14.2757 -391056 150699
-14.2747 -390906 150653
-14.2737 -390755 150606
-14.2727 -390604 150560
-14.2717 -390454 150514
-14.2707 -390303 150468
-14.2697 -390153 150422
-14.2687 -390002 150376
-14.2677 -389852 150330
-14.2667 -389702 150284
-14.2657 -389552 150238
-14.2647 -389401 150192
-14.2637 -389251 150146
-14.2627 -389101 150100
-14.2617 -388951 150054
-14.2607 -388801 150008
-14.2597 -388651 149962
-14.2587 -388501 149916
-14.2577 -388351 149870
-14.2567 -388201 149824
-14.2557 -388051 149778
-14.2547 -387902 149732
-14.2537 -387752 149686
-14.2527 -387602 149640
-14.2517 -387453 149595
-14.2507 -387303 149549
-14.2497 -387154 149503
-14.2487 -387004 149457
-14.2477 -386855 149411
-14.2467 -386705 149365
-14.2457 -386556 149319
-14.2447 -386407 149274
-14.2437 -386257 149228
-14.2427 -386108 149182
-14.2417 -385959 149136
-14.2407 -385810 149091
-14.2397 -385661 149045
-14.2387 -385512 148999
-14.2377 -385363 148953
-14.2367 -385214 148908
-14.2357 -385065 148862
-14.2347 -384916 148816
-14.2337 -384767 148770
-14.2327 -384619 148725
-14.2317 -384470 148679
-14.2307 -384321 148633
-14.2297 -384173 148588
-14.2287 -384024 148542
-14.2277 -383876 148497
-14.2267 -383727 148451
-14.2257 -383579 148405
-14.2247 -383430 148360
-14.2237 -383282 148314
